Rank,Name,Division,Beginning Year,Longevity,Origin,Wins,Losses,Draws,Birth Year,Starting Age,Total Bouts,Win %
198,Bermondsey Billy,welter,1911,21,"Bermondsey, London, United Kingdom",75,23,12,1897,14,110,0.681818182
199,Frankie Schoell,welter,1918,12,"Buffalo, New York, USA",109,30,20,1901,17,159,0.685534591
200,Kid Chocolate,feather,1927,11,"Havana, Cuba",136,10,6,1910,17,152,0.894736842
201,Edwin Rosario,light,1979,18,"Toa Baja, Puerto Rico",47,6,0,1963,16,53,0.886792453
202,Rocky Castellani,middle,1944,13,"Luzerne, Pennsylvania, USA",69,14,6,1926,18,89,0.775280899
203,Ricardo Lopez,minimum,1985,16,"Mexico City, Distrito Federal, Mexico",51,0,1,1975,10,52,0.980769231
204,Marlon Starling,welter,1979,11,"Hartford, Connecticut, USA",45,6,1,1959,20,52,0.865384615
205,Ingemar Johansson,heavy,1952,11,"Gothenburg, Sweden",26,2,0,1932,20,28,0.928571429
206,Pipino Cuevas,welter,1971,18,"Mexico City, Distrito Federal, Mexico",34,15,0,1957,14,49,0.693877551
207,Vernon Forrest,welter,1992,16,"Atlanta, Georgia, USA",41,3,0,1971,21,44,0.931818182
208,Chris John,feather,1998,15,"Semarang, Indonesia",48,1,3,1971,27,52,0.923076923
209,George Costner,welter,1940,10,"Cincinnati, Ohio, USA",73,12,4,1923,17,89,0.820224719
210,Vince Martinez,welter,1949,12,"Paterson, New Jersey, USA",69,8,0,1929,20,77,0.896103896
211,George Benton,middle,1949,21,"Philadelphia, Pennsylvania, USA",62,13,1,1933,16,76,0.815789474
212,Del Flanagan,welter,1947,17,"Saint Paul, Minnesota, USA",104,22,2,1928,19,128,0.8125
213,Sugar Ramos,feather,1957,15,"Mexico City, Distrito Federal, Mexico",55,7,4,1941,16,66,0.833333333
214,Tony Zale,middle,1934,14,"Chicago, Illinois, USA",67,18,2,1913,21,87,0.770114943
215,Alfredo Urbina,light,1957,12,"Ciudad Azteca, Distrito Federal, Mexico",59,21,4,1940,17,84,0.702380952
216,Rodrigo Valdes,middle,1963,17,"Rocha, Colombia",63,8,2,1946,17,73,0.863013699
217,Sammy Fuller,light,1924,19,"Boston, Massachusetts, USA",55,18,3,1906,18,76,0.723684211
218,Mike Tyson,heavy,1985,39,"Henderson, Nevada, USA",50,7,0,1966,19,57,0.877192982
219,Eusebio Pedroza,feather,1973,19,"Panama City, Panama",41,6,1,1956,17,48,0.854166667
220,Ernie Roderick,welter,1931,19,"Liverpool, Merseyside, United Kingdom",112,24,4,1914,17,140,0.8
221,Roman Gonzalez,super fly,2005,19,"Managua, Nicaragua",52,4,0,1987,18,56,0.928571429
222,Sergio Martinez,middle,1997,26,Spain,57,3,2,1975,22,62,0.919354839
223,Victor Galindez,light heavy,1969,11,"Moron, Buenos Aires, Argentina",55,9,4,1948,21,68,0.808823529
224,California Jackie,welter,1936,13,"Los Angeles, California, USA",63,19,6,1918,18,88,0.715909091
225,Jimmy Carter,light,1946,14,"The Bronx, New York, USA",85,31,9,1924,22,125,0.68
